id, nume_actiune, timestamp
0, Display Spectacles, Sat Apr 20 15:02:23 EEST 2019
1, Display spectacles, Thu Apr 25 14:38:36 EEST 2019
2, Display Spectacles, Thu Apr 25 14:38:36 EEST 2019
3, Show number of spectacles, Thu Apr 25 14:38:45 EEST 2019
4, Choose spectacle, Thu Apr 25 14:38:54 EEST 2019
5, Show seats for spectacle, Thu Apr 25 14:39:05 EEST 2019
6, Add client for spectacle, Thu Apr 25 14:39:17 EEST 2019
7, Exit, Thu Apr 25 14:39:30 EEST 2019
8, Display spectacles, Thu Apr 25 14:39:54 EEST 2019
9, Display Spectacles, Thu Apr 25 14:39:55 EEST 2019
10, Exit, Thu Apr 25 14:40:00 EEST 2019
11, Display spectacles, Thu Apr 25 14:40:37 EEST 2019
12, Exit, Thu Apr 25 14:40:39 EEST 2019
13, Show amount to pay, Tue May 07 21:29:16 EEST 2019
14, Choose spectacle, Tue May 07 21:29:38 EEST 2019
15, Add client for spectacle, Tue May 07 21:29:46 EEST 2019
16, Show amount to pay, Tue May 07 21:30:12 EEST 2019
17, Choose spectacle, Tue May 07 21:30:45 EEST 2019
18, Add client for spectacle, Tue May 07 21:30:49 EEST 2019
19, Show amount to pay, Tue May 07 21:31:07 EEST 2019
20, Show amount to pay, Tue May 07 21:31:10 EEST 2019
21, Show amount to pay, Tue May 07 21:33:08 EEST 2019
22, Show amount to pay, Tue May 07 21:33:28 EEST 2019
23, Add client for spectacle, Tue May 07 21:34:15 EEST 2019
24, Show amount to pay, Tue May 07 21:34:35 EEST 2019
25, Exit, Tue May 07 21:34:55 EEST 2019
26, Add client for spectacle, Thu May 09 13:34:24 EEST 2019
27, Add client for spectacle, Thu May 09 13:34:25 EEST 2019
28, Add client for spectacle, Thu May 09 13:34:25 EEST 2019
29, Add client for spectacle, Thu May 09 13:34:25 EEST 2019
30, Add client for spectacle, Thu May 09 13:34:25 EEST 2019
31, Add client for spectacle, Thu May 09 13:34:25 EEST 2019
32, Add client for spectacle, Thu May 09 13:34:25 EEST 2019
33, Add client for spectacle, Thu May 09 13:34:25 EEST 2019
34, Add client for spectacle, Thu May 09 13:34:25 EEST 2019
35, Add client for spectacle, Thu May 09 13:34:25 EEST 2019
36, Add client for spectacle, Thu May 09 13:34:25 EEST 2019
37, Add client for spectacle, Thu May 09 13:34:25 EEST 2019
38, Add client for spectacle, Thu May 09 13:34:25 EEST 2019
39, Add client for spectacle, Thu May 09 13:34:25 EEST 2019
40, Add client for spectacle, Thu May 09 13:34:25 EEST 2019
41, Add client for spectacle, Thu May 09 13:34:25 EEST 2019
42, Add client for spectacle, Thu May 09 13:34:25 EEST 2019
43, Add client for spectacle, Thu May 09 13:34:25 EEST 2019
44, Add client for spectacle, Thu May 09 13:34:25 EEST 2019
45, Add client for spectacle, Thu May 09 13:34:27 EEST 2019
46, Add client for spectacle, Thu May 09 13:34:27 EEST 2019
47, Add client for spectacle, Thu May 09 13:34:27 EEST 2019
48, Add client for spectacle, Thu May 09 13:34:27 EEST 2019
49, Add client for spectacle, Thu May 09 13:34:27 EEST 2019
50, Add client for spectacle, Thu May 09 13:34:27 EEST 2019
51, Add client for spectacle, Thu May 09 13:34:27 EEST 2019
52, Add client for spectacle, Thu May 09 13:34:27 EEST 2019
53, Add client for spectacle, Thu May 09 13:34:27 EEST 2019
54, Add client for spectacle, Thu May 09 13:34:27 EEST 2019
55, Add client for spectacle, Thu May 09 13:34:27 EEST 2019
56, Add client for spectacle, Thu May 09 13:34:27 EEST 2019
57, Add client for spectacle, Thu May 09 13:34:27 EEST 2019
58, Add client for spectacle, Thu May 09 13:34:27 EEST 2019
59, Add client for spectacle, Thu May 09 13:34:27 EEST 2019
60, Add client for spectacle, Thu May 09 13:34:27 EEST 2019
61, Add client for spectacle, Thu May 09 13:34:27 EEST 2019
62, Add client for spectacle, Thu May 09 13:34:27 EEST 2019
63, Add client for spectacle, Thu May 09 13:34:27 EEST 2019
64, Get spectacles name, Thu May 09 13:34:27 EEST 2019
65, Add client for spectacle, Thu May 09 13:34:39 EEST 2019
66, Add client for spectacle, Thu May 09 13:34:39 EEST 2019
67, Add client for spectacle, Thu May 09 13:34:39 EEST 2019
68, Add client for spectacle, Thu May 09 13:34:39 EEST 2019
69, Add client for spectacle, Thu May 09 13:34:39 EEST 2019
70, Add client for spectacle, Thu May 09 13:34:39 EEST 2019
71, Add client for spectacle, Thu May 09 13:34:39 EEST 2019
72, Add client for spectacle, Thu May 09 13:34:39 EEST 2019
73, Add client for spectacle, Thu May 09 13:34:39 EEST 2019
74, Add client for spectacle, Thu May 09 13:34:39 EEST 2019
75, Add client for spectacle, Thu May 09 13:34:39 EEST 2019
76, Add client for spectacle, Thu May 09 13:34:39 EEST 2019
77, Add client for spectacle, Thu May 09 13:34:39 EEST 2019
78, Add client for spectacle, Thu May 09 13:34:39 EEST 2019
79, Add client for spectacle, Thu May 09 13:34:39 EEST 2019
80, Add client for spectacle, Thu May 09 13:34:39 EEST 2019
81, Add client for spectacle, Thu May 09 13:34:39 EEST 2019
82, Add client for spectacle, Thu May 09 13:34:39 EEST 2019
83, Add client for spectacle, Thu May 09 13:34:39 EEST 2019
84, Add client for spectacle, Thu May 09 13:34:40 EEST 2019
85, Add client for spectacle, Thu May 09 13:34:40 EEST 2019
86, Add client for spectacle, Thu May 09 13:34:40 EEST 2019
87, Add client for spectacle, Thu May 09 13:34:40 EEST 2019
88, Add client for spectacle, Thu May 09 13:34:40 EEST 2019
89, Add client for spectacle, Thu May 09 13:34:40 EEST 2019
90, Add client for spectacle, Thu May 09 13:34:40 EEST 2019
91, Add client for spectacle, Thu May 09 13:34:40 EEST 2019
92, Add client for spectacle, Thu May 09 13:34:40 EEST 2019
93, Add client for spectacle, Thu May 09 13:34:40 EEST 2019
94, Add client for spectacle, Thu May 09 13:34:40 EEST 2019
95, Add client for spectacle, Thu May 09 13:34:40 EEST 2019
96, Add client for spectacle, Thu May 09 13:34:40 EEST 2019
97, Add client for spectacle, Thu May 09 13:34:40 EEST 2019
98, Add client for spectacle, Thu May 09 13:34:41 EEST 2019
99, Add client for spectacle, Thu May 09 13:34:41 EEST 2019
100, Add client for spectacle, Thu May 09 13:34:41 EEST 2019
101, Add client for spectacle, Thu May 09 13:34:41 EEST 2019
102, Add client for spectacle, Thu May 09 13:34:41 EEST 2019
103, Get spectacles name, Thu May 09 13:34:41 EEST 2019
